title,nb_avis,notes_moyennes,note_max,note_min,ecart-type,nb_commentaires
Clash of Deck,12,8.0,9.0,7.0,0.7071067811865476,12
B-movie,3,8.333333333333334,9.0,8.0,0.4714045207910317,3
Schotten Totten 2,30,7.433333333333334,10.0,1.0,2.0604745947367453,30
Love Letter,118,8.279661016949152,10.0,1.0,1.4014858532838987,118
Saint Seiya Deck Buiding: Asgard,29,8.724137931034482,10.0,6.0,1.1713991552733123,29
Horreur à Arkham - Dernière Heure,1,8.0,8.0,8.0,0.0,1
Tea for 2,58,7.551724137931035,10.0,1.0,1.6100162110246554,58
U-Boot,11,9.181818181818182,10.0,7.0,1.02851895445316,11
Queenz,27,7.962962962962963,10.0,5.0,1.2904630659395813,27
Baron Voodoo,13,7.615384615384615,9.0,7.0,0.624926031125843,13
Prehistories,19,7.947368421052632,10.0,5.0,1.4317337377616257,19
"Dice Hospital - Extension ""Soins Communautaires""",5,9.4,10.0,9.0,0.48989794855663565,5
Unlock! Mythic Adventures,26,8.153846153846153,10.0,4.0,1.4058205294228514,26
Révélations,5,7.8,9.0,7.0,0.7483314773547882,5
5211,21,7.476190476190476,10.0,4.0,1.7625481450782616,21
RAPID CITY,15,8.466666666666667,10.0,5.0,1.499629583893599,15
L'Antre du Roi de la Montagne,16,7.8125,10.0,1.0,2.0068242947502903,16
Night of the Living Dead : Un jeu Zombicide,9,8.666666666666666,10.0,6.0,1.1547005383792515,9
The Crew,150,8.073333333333334,10.0,2.0,1.796651205870398,150
Vicomtes du Royaume de l'Ouest,17,7.9411764705882355,10.0,5.0,1.4741134218990195,17
Le Dilemme du Roi,39,8.512820512820513,10.0,2.0,1.4999452104830426,39
Paranormal Detectives,19,7.631578947368421,10.0,5.0,1.3845206776806216,19
1941 Race to Moscow,3,6.0,10.0,1.0,3.7416573867739413,3
NINE,14,7.928571428571429,10.0,4.0,1.5795245991068558,14
BRUXELLES 1897,21,8.047619047619047,10.0,4.0,1.4952684255340554,21
Marchands du Nord,8,7.125,10.0,5.0,1.5360257159305635,8
SuccessorS,2,9.5,10.0,9.0,0.5,2
MicroMacro Crime City,150,8.166666666666666,10.0,1.0,1.5466810344160233,150
Zombie Teenz Évolution,27,9.074074074074074,10.0,8.0,0.7662281802065629,27
Fuji Koro,6,7.0,10.0,2.0,2.449489742783178,6
Elastium,9,7.555555555555555,8.0,6.0,0.6849348892187751,9
Tiny Epic Mechs,6,7.166666666666667,9.0,6.0,0.8975274678557507,6
Flash 8,11,7.7272727272727275,10.0,4.0,1.656442468935327,11
7 Wonders Leaders - Édition 2020,19,7.894736842105263,10.0,3.0,2.0492549825191353,19
Ishtar - Les Jardins de Babylone,35,7.742857142857143,10.0,5.0,1.441088024333542,35
2184 Generation War 2.0,2,8.5,9.0,8.0,0.5,2
TAJUTO,17,7.411764705882353,10.0,2.0,2.0880281587410408,17
L'Île de Pan,16,6.25,10.0,3.0,1.8540496217739157,16
Shining Le Jeu,5,4.0,7.0,2.0,1.8973665961010275,5
Invictus - Odin,2,9.5,10.0,9.0,0.5,2
Ninja Night,4,6.25,7.0,6.0,0.4330127018922193,4
Mauwi,6,6.166666666666667,9.0,2.0,2.1147629234082532,6
Age of Civilization,12,7.75,9.0,6.0,1.0103629710818451,12
Pharaon,53,8.169811320754716,10.0,1.0,1.7127253913826745,53
Deep Blue,17,6.529411764705882,9.0,2.0,2.0326061815495287,17
Hero Realms: la ruine de Thandar,12,7.916666666666667,10.0,5.0,1.70579079087156,12
OMERTA,11,6.545454545454546,8.0,5.0,1.2331509060227759,11
Opération Commando 2 - Sainte-Mère-Église,3,9.666666666666666,10.0,9.0,0.4714045207910317,3
Set a Watch,28,7.892857142857143,10.0,3.0,1.472104560394639,28
