author,nb_avis,notes_moyennes,ecart-type,nb_commentaires
yugg,11,7.454545454545454,2.4257571025684244,11
Djagwar,10,9.3,0.9000000000000001,10
Tequilight,8,9.25,0.9682458365518544,8
Karopockle,8,7.75,2.537222891273055,8
kirikou,10,6.8,1.6,10
Ashe75,6,8.333333333333334,1.3743685418725535,6
esthell33,1,5.0,0.0,1
MonoPaul,1,8.0,0.0,1
yannatas,4,8.0,2.449489742783178,4
M Cotur,2,7.0,3.0,2
Ticque,1,10.0,0.0,1
bistouille,2,10.0,0.0,2
ben1415,1,10.0,0.0,1
ZiwZaw953,6,9.5,0.5,6
pahpah,9,8.222222222222221,2.2986845406196887,9
Nazegoule,6,8.666666666666666,1.4907119849998596,6
hawaiianparadise,1,10.0,0.0,1
nagendo,1,8.0,0.0,1
sdetavern,1,0.0,0.0,1
Aile2poulet,1,9.0,0.0,1
matthias.ballarini,1,8.0,0.0,1
pommefarfadet,1,10.0,0.0,1
Edrick,16,7.9375,1.1439378261076951,16
Buffalosteak,34,6.911764705882353,1.0945761215252,34
Fraoch,2,9.0,0.0,2
thymon,1,8.0,0.0,1
Aquarius80,13,8.0,2.480694691784169,13
jengo,2,9.0,1.0,2
Mercure,5,6.6,2.727636339397171,5
hemlock676,5,9.8,0.3999999999999999,5
Beleanos,1,7.0,0.0,1
Affreux_Jojon,1,7.0,0.0,1
dragtoon,4,9.5,0.8660254037844386,4
prejoris72,2,8.5,0.5,2
funvik,2,10.0,0.0,2
RuaLten,1,10.0,0.0,1
SWI,5,8.8,1.1661903789690602,5
naturel,2,7.0,1.0,2
Olyka,1,7.0,0.0,1
Endevor,3,9.0,0.816496580927726,3
Sieverth21,16,8.375,2.6190408549696205,16
Pallantides,14,7.5,0.9819805060619656,14
Cyberdwarf,14,8.071428571428571,0.7985957062499248,14
Corto,4,8.5,1.5,4
anbt,17,7.9411764705882355,2.5081183065091586,17
unclecreepy,3,8.666666666666666,1.8856180831641267,3
damrojas,1,8.0,0.0,1
kaizereva,4,8.0,0.7071067811865476,4
LeGoZoR,1,10.0,0.0,1
steph40,1,9.0,0.0,1
Albix126,1,10.0,0.0,1
Mérion,1,10.0,0.0,1
Robin O.,4,8.5,2.0615528128088303,4
sebplayer38,1,10.0,0.0,1
ReDHooD,3,9.0,0.816496580927726,3
l'ar'Aisne des jeux,1,10.0,0.0,1
Capitaine Plasma,2,9.0,0.0,2
Zocoworld,1,6.0,0.0,1
neenoroh,1,9.0,0.0,1
Joys,2,9.5,0.5,2
Chrisner,1,10.0,0.0,1
Levi Ackerman,1,10.0,0.0,1
tibère,1,10.0,0.0,1
Pomes,1,9.0,0.0,1
JuC,1,10.0,0.0,1
Ouzbek,1,10.0,0.0,1
Foudrolle,2,7.5,0.5,2
Deviux,1,5.0,0.0,1
Jibidus,14,7.214285714285714,1.7393993802694172,14
raphbas,1,9.0,0.0,1
Léandre Proust,1,10.0,0.0,1
vinmo,4,8.5,0.8660254037844386,4
Marco25,4,9.25,0.82915619758885,4
Pooneil,1,10.0,0.0,1
ced0077,1,10.0,0.0,1
jdb,43,6.1395348837209305,1.746510079583124,43
McQueen,59,6.5423728813559325,2.141772067651704,59
Fredwin,22,8.681818181818182,2.2840626411638385,22
mildaene,19,7.578947368421052,3.014278118584496,19
jmlerhum,61,7.836065573770492,2.355184917517112,61
AqME,38,8.0,1.8353258709644944,38
alighieri,18,7.944444444444445,2.272351259579729,18
Duda,32,7.9375,2.3708845922988324,32
BaronSam10,9,7.555555555555555,2.266230894930126,9
ziiicos,5,9.0,2.0,5
samylatortue,11,6.363636363636363,1.431637795274875,11
Kesako,2,9.0,0.0,2
Moi.Lenours,10,6.2,2.4413111231467406,10
rds,5,7.0,2.0976176963403037,5
jahsoldier,11,7.454545454545454,2.270908363053963,11
pidum,23,7.565217391304348,1.555525549565071,23
Styrefr,19,7.473684210526316,1.6973174206944317,19
bounet_des_forêts,10,8.0,1.2649110640673518,10
C3-Frédo,4,6.5,1.6583123951777,4
cami3249,6,7.0,2.23606797749979,6
champ44,5,8.0,3.0983866769659336,5
Seb06,2,7.0,1.0,2
Grosours,1,8.0,0.0,1
petit0fred,1,8.0,0.0,1
BazookaMandarine,1,8.0,0.0,1
Archive,1,7.0,0.0,1
piwu,2,7.0,1.0,2
Gwendalen,2,7.5,2.5,2
zigo,1,2.0,0.0,1
atalargo,1,8.0,0.0,1
thib3000,1,10.0,0.0,1
mamamia,100,7.83,2.336899655526527,100
Vernard (Dany40),3,9.666666666666666,0.4714045207910317,3
xianlo,1,9.0,0.0,1
olh21,2,8.5,0.5,2
DemtroiNion,1,9.0,0.0,1
soula2x,1,10.0,0.0,1
muku,1,8.0,0.0,1
192 pack,1,10.0,0.0,1
dcdp,31,7.161290322580645,2.4242960294265723,31
Teproc,18,8.666666666666666,1.3333333333333333,18
Solto,21,8.047619047619047,2.148669366224472,21
R2,56,7.142857142857143,1.7261494247992248,56
Drenghbar,24,8.208333333333334,1.8252663428174591,24
Yoda,42,7.619047619047619,1.646820615789579,42
Belial,44,6.5,2.220769727328383,44
Deratiseur,37,6.108108108108108,2.3685299784007183,37
kristouf,24,7.25,2.066599461272874,24
touriste,32,6.3125,2.554866679496212,32
IBashar,26,6.076923076923077,2.6879084937932536,26
copyright,19,7.368421052631579,1.952340735893832,19
Silvano,27,8.518518518518519,2.2172784514215955,27
LgS,23,8.08695652173913,2.165199930084997,23
rickyboom,29,6.241379310344827,2.673692686204156,29
Astrobatordorak,8,7.75,2.9047375096555625,8
Tourbillon,29,7.241379310344827,1.9236311284112213,29
Mesophylle,8,6.25,1.479019945774904,8
C4stor,2,8.0,0.0,2
meleuh33,1,8.0,0.0,1
Shiiro Yuurei,2,7.5,1.5,2
Peetsa,10,8.1,1.3,10
Ephora,2,8.5,0.5,2
cbast,6,7.0,2.0816659994661326,6
sasa80,1,9.0,0.0,1
lordgun,2,8.5,1.5,2
Pamplemousson,5,8.8,0.7483314773547882,5
Shaone,1,6.0,0.0,1
Norzi,4,8.0,0.7071067811865476,4
isadeline,2,4.5,3.5,2
Gaiiad,2,7.5,0.5,2
